CLIB122_UNIPROT	CLIB122_NCBI	Standard_A	Standard_B	Standard_C	Standard_D	HighTemp_A	HighTemp_B	HighTemp_C	LowpH_A	LowpH_B	LowpH_C	LowpH_D
Q6CE16	YALI0B19382g1_1	7.32049E-06	6.13693E-06	7.73641E-06	8.92035E-06	4.66597E-06	5.91035E-06	4.82573E-06	7.48353E-06	8.09475E-06	7.65538E-06	9.24005E-06
Q6CDS1	YALI0B21662g1_1	1.41643E-05	1.55593E-05	1.22465E-05	1.25071E-05	9.5067E-06	8.31113E-06	7.25204E-06	1.05233E-05	8.8179E-06	1.09391E-05	2.15397E-05
Q6C354	YALI0F02497g1_1	6.13645E-05	6.3369E-05	7.09352E-05	5.09383E-05	5.0168E-05	4.71905E-05	5.8381E-05	2.25192E-05	3.15017E-05	2.73284E-05	3.067E-05
Q6C9H5	YALI0D11176g1_1	1.03598E-05	1.29737E-05	7.74742E-06	1.03762E-05	8.85164E-06	7.29678E-06	8.23667E-06	8.88981E-06	6.87717E-06	6.39667E-06	1.0189E-05
Q6C1A9	YALI0F17820g1_1	2.88556E-05	2.50766E-05	3.58578E-05	3.43431E-05	2.06516E-05	2.05827E-05	2.5566E-05	7.60314E-05	8.22962E-05	0.00010466	0.000107995
Q6C2Q5	YALI0F05962g1_1	2.99226E-05	3.47243E-05	2.96699E-05	2.07834E-05	3.42086E-05	2.40333E-05	3.05707E-05	3.41604E-05	2.87336E-05	3.36539E-05	2.62909E-05
P59680	YALI0D16357g1_1	1.75039E-05	2.35024E-05	1.97253E-05	1.43711E-05	1.57277E-05	1.52242E-05	1.3993E-05	1.21817E-05	1.0132E-05	1.16182E-05	1.3296E-05
Q6C1Z3	YALI0F12155g1_1	1.24327E-05	1.88814E-05	1.14624E-05	9.87731E-06	1.28223E-05	1.23796E-05	1.12417E-05	1.27702E-05	1.30372E-05	1.39831E-05	1.46365E-05
Q6C7Y7	YALI0D24299g1_1	8.64498E-06	1.5601E-05	1.14854E-05	1.48268E-05	1.34545E-05	9.45251E-06	1.03239E-05	7.93112E-06	6.92706E-06	1.25145E-05	1.01773E-05
Q6CGG9	YALI0A19470g1_1	3.18982E-05	3.24026E-05	2.75072E-05	2.45719E-05	2.50038E-05	1.91478E-05	2.12431E-05	1.93664E-05	2.39069E-05	1.84706E-05	2.77876E-05
Q6C7Y2	YALI0D24409g1_1	3.40632E-05	2.7968E-05	2.91014E-05	2.16549E-05	2.86615E-05	3.07125E-05	3.06305E-05	3.05887E-05	3.39643E-05	2.92744E-05	2.99289E-05
